ACCOUNT_NO,DATE,CREDIT,DEBIT,UNITS
123456,12/05/2021,1050,0,access
123456,11/05/2021,1050,1050,access
123456,10/05/2021,1050,1050,access
123456,09/05/2021,1050,1050,access
123456,08/05/2021,1050,1050,access
123456,07/05/2021,1050,1050,access
,,,,
234567,12/05/2021,1500,0,family
234567,11/05/2021,1500,1500,family
234567,10/05/2021,1500,1500,family
234567,09/05/2021,1500,1500,family
234567,08/05/2021,1500,1500,family
234567,07/05/2021,1500,1500,family
,,,,
345678,07/06/2021,1050,0,access
345678,07/07/2021,1050,1050,access
345678,07/08/2021,1050,1050,access
345678,07/09/2021,1050,1050,access
345678,07/10/2021,1050,1050,access
345678,07/11/2021,1050,1050,access
