ACCOUNT_NO,DATE,CREDIT,DEBIT,UNITS
123456789,12/05/2021,2300,0,15
123456789,11/05/2021,1245,1000,30
123456789,10/05/2021,875,875,27
123456789,09/05/2021,1233,1233,50
123456789,08/05/2021,1050,1050,40
123456789,07/05/2021,2000,2000,60
,,,,
234567891,12/05/2021,430,0,12
234567891,11/05/2021,500,500,17
234567891,10/05/2021,875,875,30
234567891,09/05/2021,600,600,32
234567891,08/05/2021,450,450,25
234567891,07/05/2021,730,730,27
,,,,
345678912,12/05/2021,1200,0,26
345678912,11/05/2021,800,0,42
345678912,10/05/2021,750,300,32
345678912,09/05/2021,1000,1000,37
345678912,08/05/2021,1200,1200,43
345678912,07/05/2021,765,765,40
